Interval=	0,001 s
ExcelDateTime=	4,6092614496418428e+004	11.03.2026 14:44:52,490552
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 3	Channel 4
Range=	5,000 mV	5,000 mV
0,01	-0,06742188	0,3258876
0,011	-0,06742188	0,3258876
0,012	-0,08089844	0,3258876
0,013	-0,07792969	0,3258876
0,014	-0,08152344	0,3258876
0,015	-0,07519531	0,3258876
0,016	-0,06414063	0,3258876
0,017	-0,06515625	0,3258876
0,018	-0,07742188	0,3258876
0,019	-0,1022656	0,3258876
0,02	-0,1129688	0,3258876
0,021	-0,07996094	0,3258876
0,022	-0,03539063	0,3258876
0,023	-0,02253906	0,3258876
0,024	-0,02808594	0,3258876
0,025	-0,02527344	0,3258876
0,026	-0,0271875	0,3258876
0,027	-0,05554688	0,3258876
0,028	-0,08410156	0,3258876
0,029	-0,08839844	0,3258876
0,03	-0,09003906	0,3258876
0,031	-0,09175781	0,3258876
0,032	-0,07617188	0,3258876
0,033	-0,05324219	0,3258876
0,034	-0,03929688	0,3258876
0,035	-0,03785156	0,325755
0,036	-0,02855469	0,325755
0,037	0,0008203125	0,325755
0,038	0,01890625	0,325755
0,039	0,02394531	0,325755
0,04	0,02222656	0,325755
0,041	0,007265625	0,325755
0,042	-0,01253906	0,325755
0,043	-0,0790625	0,325755
0,044	-0,1948828	0,325755
0,045	-0,2639844	0,325755
0,046	-0,2107422	0,325755
0,047	-0,09144531	0,325755
0,048	-0,02976563	0,325755
0,049	-0,04351563	0,325755
0,05	-0,08753906	0,325755
0,051	-0,1123828	0,325755
0,052	-0,0946875	0,325755
0,053	-0,0578125	0,325755
0,054	-0,02152344	0,325755
0,055	-0,009296875	0,325755
0,056	-0,01871094	0,325755
0,057	-0,03785156	0,325755
0,058	-0,05863281	0,325755
0,059	-0,05257813	0,325755
0,06	-0,04214844	0,325755
0,061	-0,05507812	0,325755
0,062	-0,04855469	0,325755
0,063	-0,03339844	0,325755
0,064	-0,06109375	0,325755
0,065	-0,08757813	0,325755
0,066	-0,07578125	0,325755
0,067	-0,06449219	0,325755
0,068	-0,0671875	0,325755
0,069	-0,07269531	0,325755
0,07	-0,07015625	0,325755
0,071	-0,05144531	0,325755
0,072	-0,03863281	0,325755
0,073	-0,04066406	0,325755
0,074	-0,04820312	0,325755
0,075	-0,06816406	0,325755
0,076	-0,09574219	0,325755
0,077	-0,1046875	0,325755
0,078	-0,08355469	0,325755
0,079	-0,04605469	0,325755
0,08	-0,008710937	0,325755
0,081	0,01128906	0,325755
0,082	0,03429687	0,325755
0,083	0,04933594	0,325755
0,084	-0,03605469	0,325755
0,085	-0,1630859	0,325755
0,086	-0,1982031	0,325755
0,087	-0,185	0,325755
0,088	-0,1685156	0,325755
0,089	-0,1238281	0,325755
0,09	-0,08179688	0,325755
0,091	-0,06058594	0,325755
0,092	-0,03445313	0,325755
0,093	-0,03382813	0,325755
0,094	-0,07382813	0,325755
0,095	-0,09558594	0,325755
0,096	-0,09273438	0,325755
0,097	-0,09542969	0,325755
0,098	-0,1110547	0,325755
0,099	-0,12875	0,325755
0,1	-0,1190625	0,325755
0,101	-0,09925781	0,325755
0,102	-0,1079688	0,325755
0,103	-0,1092188	0,325755
0,104	-0,0625	0,325755
0,105	-0,01328125	0,325755
0,106	-0,009921875	0,325755
0,107	-0,03363281	0,325755
0,108	-0,05746094	0,325755
0,109	-0,07484375	0,325755
0,11	-0,07394531	0,325755
0,111	-0,05550781	0,325755
0,112	-0,031875	0,325755
0,113	-0,01519531	0,325755
0,114	-0,0140625	0,325755
0,115	-0,01621094	0,325755
0,116	-0,01773438	0,325755
0,117	-0,02773438	0,325755
0,118	-0,03292969	0,325755
0,119	-0,02617188	0,325755
0,12	-0,02445312	0,325755
0,121	-0,02957031	0,325755
0,122	-0,03308594	0,325755
0,123	-0,02628906	0,325755
0,124	-0,01644531	0,325755
0,125	-0,02863281	0,325755
0,126	-0,04378906	0,325755
0,127	-0,02453125	0,325755
0,128	-0,006601562	0,325755
0,129	-0,04246094	0,325755
0,13	-0,07765625	0,325755
0,131	-0,063125	0,325755
0,132	-0,03519531	0,325755
0,133	-0,01964844	0,325755
0,134	-0,04367187	0,325755
0,135	-0,07359375	0,325755
0,136	-0,0275	0,325755
0,137	0,04222656	0,325755
0,138	0,02046875	0,325755
0,139	-0,05429688	0,325755
0,14	-0,06375	0,325755
0,141	-0,03066406	0,325755
0,142	-0,00828125	0,325755
0,143	0,01625	0,325755
0,144	0,02292969	0,325755
0,145	0,01878906	0,325755
0,146	0,02921875	0,325755
0,147	0,0434375	0,325755
0,148	0,05023437	0,325755
0,149	0,04734375	0,325755
0,15	0,04246094	0,325755
0,151	0,02945313	0,325755
0,152	0,008710937	0,325755
0,153	0,001796875	0,325755
0,154	0,003398438	0,325755
0,155	-7,8125e-005	0,325755
0,156	-0,005039063	0,325755
0,157	-0,01425781	0,325755
0,158	-0,01960938	0,325755
0,159	-0,007578125	0,325755
0,16	0,002109375	0,325755
0,161	0,0046875	0,325755
0,162	0,02808594	0,325755
0,163	0,02957031	0,325755
0,164	-0,01484375	0,325755
0,165	-0,03179688	0,325755
0,166	-0,01707031	0,325755
0,167	0,01175781	0,325755
0,168	0,01597656	0,325755
0,169	-0,05128906	0,325755
0,17	-0,08039063	0,325755
0,171	-0,02878906	0,325755
0,172	0,01449219	0,325755
0,173	0,03617187	0,325755
0,174	0,0275	0,325755
0,175	-0,01539063	0,325755
0,176	-0,02976563	0,325755
0,177	-0,008984375	0,325755
0,178	0,01195313	0,325755
0,179	0,01441406	0,325755
0,18	-0,01917969	0,325755
0,181	-0,06011719	0,325755
0,182	-0,06570313	0,325755
0,183	-0,04171875	0,325755
0,184	-0,03390625	0,325755
0,185	-0,05074219	0,325755
0,186	-0,06796875	0,325755
0,187	-0,09605469	0,325755
0,188	-0,1208203	0,325755
0,189	-0,1157422	0,325755
0,19	-0,1105469	0,325755
0,191	-0,1155469	0,325755
0,192	-0,1048438	0,325755
0,193	-0,09207031	0,325755
0,194	-0,08195313	0,325755
0,195	-0,05660156	0,325755
0,196	-0,03953125	0,325755
0,197	-0,04671875	0,325755
0,198	-0,060625	0,325755
0,199	-0,07289063	0,325755
0,2	-0,08304688	0,325755
0,201	-0,08292969	0,325755
0,202	-0,05148437	0,325755
0,203	0,02328125	0,325755
0,204	0,06320312	0,325755
0,205	-0,0346875	0,325755
0,206	-0,1651563	0,325755
0,207	-0,1942969	0,325755
0,208	-0,1962109	0,325755
0,209	-0,1976172	0,325755
0,21	-0,1591797	0,325755
0,211	-0,1139063	0,325755
0,212	-0,08503906	0,325755
0,213	-0,08457031	0,325755
0,214	-0,09445312	0,325755
0,215	-0,09050781	0,325755
0,216	-0,08292969	0,325755
0,217	-0,06683594	0,325755
0,218	-0,05644531	0,325755
0,219	-0,05183594	0,325755
0,22	-0,03359375	0,325755
0,221	-0,02652344	0,325755
0,222	-0,02730469	0,325755
0,223	-0,03011719	0,325755
0,224	-0,05304688	0,325755
0,225	-0,06824219	0,325755
0,226	-0,06359375	0,325755
0,227	-0,06207031	0,325755
0,228	-0,06417969	0,325755
0,229	-0,06894531	0,325755
0,23	-0,07183594	0,325755
0,231	-0,06035156	0,3258743
0,232	-0,05820313	0,3257298
0,233	-0,07433594	0,3253674
0,234	-0,08152344	0,3247813
0,235	-0,08539062	0,3240604
0,236	-0,09664063	0,3234055
0,237	-0,1074609	0,3231116
0,238	-0,1151953	0,3236569
0,239	-0,123125	0,3248375
0,24	-0,1221094	0,3268014
0,241	-0,1080859	0,3293546
0,242	-0,08730469	0,3320824
0,243	-0,0484375	0,3343855
0,244	-0,05171875	0,3355706
0,245	-0,1051172	0,3350531
0,246	-0,08	0,3321826
0,247	0,01824219	0,3269046
0,248	0,09167969	0,3195946
0,249	0,09046875	0,3111774
0,25	0,01730469	0,3030999
0,251	-0,02753906	0,297207
0,252	0,02925781	0,2954675
0,253	0,1450391	0,2999811
0,254	0,2655469	0,3122313
0,255	0,3668359	0,3330964
0,256	0,4122656	0,3626182
0,257	0,4049219	0,399924
0,258	0,3828125	0,4432664
0,259	0,3966797	0,4900426
0,26	0,4800781	0,5378842
0,261	0,5804687	0,5839755
0,262	0,6617188	0,6259045
0,263	0,7132031	0,6617093
0,264	0,7181641	0,6899651
0,265	0,7102344	0,7098007
0,266	0,7303516	0,720702
0,267	0,7970312	0,7234185
0,268	0,8737891	0,7186125
0,269	0,8864844	0,7071915
0,27	0,8398047	0,6899824
0,271	0,788125	0,667626
0,272	0,726875	0,6405614
0,273	0,6139062	0,6089356
0,274	0,4839844	0,5735743
0,275	0,4208203	0,5348763
0,276	0,403125	0,4933649
0,277	0,3725391	0,4495808
0,278	0,3323437	0,4041036
0,279	0,2970703	0,3575671
0,28	0,2751953	0,3105172
0,281	0,2342969	0,2641646
0,282	0,1534375	0,219141
0,283	0,1071094	0,1760954
0,284	0,1168359	0,135552
0,285	0,1067969	0,09792482
0,286	0,05800781	0,06353868
0,287	0,003164063	0,03248902
0,288	-0,03042969	0,005411482
0,289	-0,029375	-0,01781528
0,29	-0,00640625	-0,0372352
0,291	-0,014375	-0,05295296
0,292	-0,071875	-0,06512465
0,293	-0,1030078	-0,07395973
0,294	-0,07679688	-0,08000263
0,295	-0,03054688	-0,08283592
0,296	0,01582031	-0,0832984
0,297	0,03992188	-0,08190303
0,298	0,02964844	-0,07910124
0,299	-0,005	-0,07528648
