Interval=	0,001 s
ExcelDateTime=	4,6092631594186350e+004	11.03.2026 15:09:29,737701
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 3	Channel 4
Range=	5,000 mV	5,000 mV
0,015	-0,04425781	-0,2348927
0,016	-0,04425781	-0,2348927
0,017	0,1320703	-0,2348927
0,018	0,02859375	-0,2348927
0,019	-0,06011719	-0,2348927
0,02	0,1469141	-0,2348927
0,021	0,3132422	-0,2348927
0,022	0,1995312	-0,2348927
0,023	0,02964844	-0,2348927
0,024	-0,0303125	-0,2348927
0,025	-0,1021484	-0,2348927
0,026	-0,2801172	-0,2348927
0,027	-0,4290625	-0,2348927
0,028	-0,4457422	-0,2348927
0,029	-0,3782422	-0,2348927
0,03	-0,2824219	-0,2348927
0,031	-0,1643359	-0,2348927
0,032	0,02015625	-0,2348927
0,033	0,2239844	-0,2348927
0,034	0,2919922	-0,2348927
0,035	0,3045703	-0,2348927
0,036	0,3990234	-0,2348927
0,037	0,4278906	-0,2348927
0,038	0,3173828	-0,2348927
0,039	0,1848828	-0,2348927
0,04	0,09417969	-0,2347971
0,041	0,07363281	-0,234797
0,042	0,1516016	-0,2347971
0,043	0,26125	-0,234797
0,044	0,2890625	-0,2347971
0,045	0,2235156	-0,234797
0,046	0,094375	-0,2347971
0,047	-0,02574219	-0,2347971
0,048	-0,059375	-0,234797
0,049	-0,1207422	-0,2347971
0,05	-0,2694922	-0,234797
0,051	-0,3177344	-0,2347971
0,052	-0,2083594	-0,234797
0,053	-0,1407031	-0,2347971
0,054	-0,2071875	-0,2347971
0,055	-0,2695703	-0,234797
0,056	-0,1475	-0,2347971
0,057	0,09496094	-0,234797
0,058	0,1473438	-0,2347971
0,059	-0,000390625	-0,234797
0,06	-0,08671875	-0,2347971
0,061	-0,06269531	-0,2347971
0,062	0,003007813	-0,234797
0,063	0,04636719	-0,2347971
0,064	0,01308594	-0,234797
0,065	-0,02605469	-0,2347971
0,066	-0,006679687	-0,234797
0,067	-0,02289063	-0,2347971
0,068	-0,06765625	-0,2347971
0,069	0,02015625	-0,234797
0,07	0,2427344	-0,2347971
0,071	0,5020703	-0,234797
0,072	0,6130859	-0,2347971
0,073	0,3880859	-0,234797
0,074	0,03828125	-0,2347971
0,075	-0,08851563	-0,2347971
0,076	0,006953125	-0,234797
0,077	0,0996875	-0,2347971
0,078	0,07429687	-0,234797
0,079	-0,029375	-0,2347971
0,08	-0,1382422	-0,234797
0,081	-0,1685156	-0,2347971
0,082	-0,1026172	-0,2347971
0,083	-0,04472656	-0,234797
0,084	-0,0575	-0,2347971
0,085	-0,08457031	-0,234797
0,086	-0,0690625	-0,2347971
0,087	0,00234375	-0,234797
0,088	0,06609375	-0,2347971
0,089	0,02753906	-0,2347971
0,09	-0,04628906	-0,234797
0,091	-0,02460937	-0,2347971
0,092	0,09613281	-0,234797
0,093	0,2605078	-0,2347971
0,094	0,3206641	-0,234797
0,095	0,1113672	-0,2347971
0,096	-0,2141016	-0,2347971
0,097	-0,3284375	-0,234797
0,098	-0,1959375	-0,2347971
0,099	-0,04414063	-0,234797
0,1	-0,03285156	-0,2347971
0,101	-0,07988281	-0,234797
0,102	-0,06535156	-0,2347971
0,103	-0,04308594	-0,2347971
0,104	0,05332031	-0,234797
0,105	0,3383984	-0,2347971
0,106	0,5105859	-0,234797
0,107	0,2835547	-0,2347971
0,108	0,04570313	-0,234797
0,109	0,2398828	-0,2347971
0,11	0,3910547	-0,2347971
0,111	-0,01363281	-0,234797
0,112	-0,4466016	-0,2347971
0,113	-0,4671875	-0,234797
0,114	-0,2769922	-0,2347971
0,115	0,02492188	-0,234797
0,116	0,3557812	-0,2347971
0,117	0,5217969	-0,2347971
0,118	0,3287891	-0,234797
0,119	-0,1773828	-0,2347971
0,12	-0,5030078	-0,234797
0,121	-0,4150391	-0,2347971
0,122	-0,2371875	-0,234797
0,123	-0,1633203	-0,2347971
0,124	-0,1018359	-0,2347971
0,125	-0,04898438	-0,234797
0,126	-0,01730469	-0,2347971
0,127	0,04523438	-0,234797
0,128	0,02984375	-0,2347971
0,129	-0,1074609	-0,234797
0,13	-0,2077734	-0,2347971
0,131	-0,2242187	-0,2347971
0,132	-0,2259766	-0,234797
0,133	-0,2559375	-0,2347971
0,134	-0,2781641	-0,234797
0,135	-0,2261328	-0,2347971
0,136	-0,1503516	-0,234797
0,137	-0,1092578	-0,2347971
0,138	-0,05917969	-0,2347971
0,139	0,005039063	-0,234797
0,14	0,03769531	-0,2347971
0,141	0,01539063	-0,234797
0,142	-0,08457031	-0,2347971
0,143	-0,2033594	-0,234797
0,144	-0,2409375	-0,2347971
0,145	-0,2480078	-0,2347971
0,146	-0,2907812	-0,234797
0,147	-0,3311328	-0,2347971
0,148	-0,335625	-0,234797
0,149	-0,2992188	-0,2347971
0,15	-0,2867188	-0,234797
0,151	-0,3201172	-0,2347971
0,152	-0,2734375	-0,2347971
0,153	-0,08902344	-0,234797
0,154	0,1207422	-0,2347971
0,155	0,226875	-0,234797
0,156	0,2267578	-0,2347971
0,157	0,1470703	-0,234797
0,158	-0,0159375	-0,2347971
0,159	-0,1511328	-0,2347971
0,16	-0,1553906	-0,234797
0,161	-0,1138281	-0,2347971
0,162	-0,1099219	-0,234797
0,163	-0,0959375	-0,2347971
0,164	-0,07785156	-0,234797
0,165	-0,09445312	-0,2347971
0,166	-0,1115234	-0,2347971
0,167	-0,1316016	-0,234797
0,168	0,01554688	-0,2347971
0,169	0,4067578	-0,234797
0,17	0,5305469	-0,2347971
0,171	0,2292969	-0,234797
0,172	-0,06625	-0,2347971
0,173	-0,3364453	-0,2347971
0,174	-0,6428516	-0,234797
0,175	-0,7385938	-0,2347971
0,176	-0,6460938	-0,234797
0,177	-0,6353906	-0,2347971
0,178	-0,7398047	-0,234797
0,179	-0,85625	-0,2347971
0,18	-0,9459766	-0,2347971
0,181	-0,8967969	-0,234797
0,182	-0,6116797	-0,2347971
0,183	-0,2039063	-0,234797
0,184	0,1321484	-0,2347971
0,185	0,3477344	-0,234797
0,186	0,4914062	-0,2347971
0,187	0,6838281	-0,2347971
0,188	0,9662109	-0,234797
0,189	1,036836	-0,2347971
0,19	0,7334375	-0,234797
0,191	0,4826172	-0,2347971
0,192	0,6855859	-0,234797
0,193	0,9141797	-0,2347971
0,194	0,5750781	-0,2347971
0,195	0,1028906	-0,234797
0,196	0,1318359	-0,2347971
0,197	0,3353906	-0,234797
0,198	0,3491406	-0,2347971
0,199	0,46	-0,234797
0,2	0,6707031	-0,2347971
0,201	0,6420703	-0,2347971
0,202	0,5309766	-0,234797
0,203	0,5340625	-0,2347971
0,204	0,436875	-0,234797
0,205	0,2268359	-0,2347971
0,206	0,08265625	-0,234797
0,207	0,05992187	-0,2347971
0,208	0,1436719	-0,2347971
0,209	0,1693359	-0,234797
0,21	0,044375	-0,2347971
0,211	-0,085625	-0,234797
0,212	-0,1255859	-0,2347971
0,213	-0,05816406	-0,234797
0,214	0,09332031	-0,2347971
0,215	0,1609766	-0,2347971
0,216	0,06597656	-0,234797
0,217	-0,095	-0,2347971
0,218	-0,2218359	-0,234797
0,219	-0,3141406	-0,2347971
0,22	-0,4586328	-0,234797
0,221	-0,5368359	-0,2347971
0,222	-0,4496875	-0,2347971
0,223	-0,3794141	-0,234797
0,224	-0,3038672	-0,2347971
0,225	-0,08171875	-0,234797
0,226	0,1332812	-0,2347971
0,227	0,1094922	-0,234797
0,228	-0,1430078	-0,2347971
0,229	-0,3374609	-0,2347971
0,23	-0,3285156	-0,234797
0,231	-0,2583984	-0,2347971
0,232	-0,19125	-0,234797
0,233	-0,1688281	-0,2347971
0,234	-0,2286328	-0,234797
0,235	-0,2930859	-0,2347971
0,236	-0,3642187	-0,2347779
0,237	-0,4646094	-0,2348011
0,238	-0,4427734	-0,2348592
0,239	-0,2210938	-0,2349531
0,24	-0,05953125	-0,2350687
0,241	-0,1258594	-0,2351736
0,242	-0,2466797	-0,2352208
0,243	-0,2773047	-0,2351331
0,244	-0,1578516	-0,2349442
0,245	0,0340625	-0,2346301
0,246	0,04570313	-0,234222
0,247	-0,1094531	-0,2337861
0,248	-0,1445703	-0,2334182
0,249	0,003085938	-0,2332289
0,25	0,08554688	-0,2333196
0,251	0,009414063	-0,2337667
0,252	-0,02359375	-0,2345819
0,253	-0,03433594	-0,235705
0,254	-0,2014844	-0,2369952
0,255	-0,430625	-0,2382367
0,256	-0,4688281	-0,2391571
0,257	-0,2515234	-0,2394707
0,258	-0,1061328	-0,2388489
0,259	-0,2480078	-0,2370625
0,26	-0,4105469	-0,2339557
0,261	-0,3903516	-0,2294843
0,262	-0,2963281	-0,2237291
0,263	-0,2465234	-0,2168983
0,264	-0,2240234	-0,2093013
0,265	-0,1919531	-0,2013833
0,266	-0,1710156	-0,1935675
0,267	-0,1751953	-0,1862794
0,268	-0,2065234	-0,1799011
0,269	-0,1971875	-0,174749
0,27	-0,1213672	-0,1710608
0,271	-0,1207031	-0,1689226
0,272	-0,2109375	-0,1686252
0,273	-0,2864453	-0,1701218
0,274	-0,2841016	-0,1733718
0,275	-0,2119141	-0,1782755
0,276	-0,2789844	-0,18467
0,277	-0,5225391	-0,1923232
0,278	-0,556875	-0,2008243
0,279	-0,2421094	-0,2101651
0,28	0,066875	-0,2199218
0,281	0,1463281	-0,2297568
0,282	0,1109375	-0,2393095
0,283	0,06113281	-0,2481903
0,284	-0,02335938	-0,2559813
0,285	-0,1322266	-0,2621513
0,286	-0,2132031	-0,2666204
0,287	-0,2514844	-0,2690268
0,288	-0,2649219	-0,2691553
0,289	-0,2594141	-0,2668386
0,29	-0,2489844	-0,2619524
0,291	-0,2708203	-0,2544203
0,292	-0,3265625	-0,2441622
0,293	-0,3795312	-0,2314516
0,294	-0,3647266	-0,2164102
0,295	-0,2572266	-0,1992703
0,296	-0,1605078	-0,1803105
0,297	-0,2128906	-0,1598569
0,298	-0,4458984	-0,1382875
0,299	-0,6963672	-0,1160054
0,3	-0,6598438	-0,09356384
0,301	-0,2435547	-0,07138455
0,302	0,1488281	-0,04989659
0,303	0,2166797	-0,02950965
0,304	0,2410547	-0,01061914
0,305	0,3176172	0,006393209
0,306	0,2222266	0,02120401
0,307	0,08695313	0,03342391
0,308	0,1198438	0,04293705
0,309	0,1823828	0,04965111
0,31	0,1283203	0,05352641
0,311	0,0734375	0,05457092
0,312	0,09210938	0,05284517
0,313	0,08324219	0,04854001
0,314	0,1219531	0,04169829
0,315	0,2808984	0,03275256
0,316	0,2756641	0,02207704
0,317	0,04945313	0,01004572
0,318	-0,03941406	-0,002969466
0,319	-0,005078125	-0,01659096
0,32	-0,07523438	-0,03036287
0,321	-0,1814453	-0,04404246
0,322	-0,2783203	-0,05710221
0,323	-0,3558984	-0,06915174
0,324	-0,3776172	-0,07987548
0,325	-0,3996875	-0,08903122
0,326	-0,4083984	-0,0964433
0,327	-0,3559766	-0,1019811
0,328	-0,2340625	-0,1056187
0,329	-0,04839844	-0,1073072
0,33	0,0978125	-0,1070897
0,331	0,1159375	-0,1050802
0,332	0,06667969	-0,1014597
0,333	0,06011719	-0,09647265
0,334	0,1242969	-0,09045471
0,335	0,1600391	-0,08364224
0,336	0,1049609	-0,07642209
0,337	0,0965625	-0,06913993
0,338	0,1809375	-0,06212762
0,339	0,1235547	-0,05570074
0,34	-0,1122656	-0,05015696
0,341	-0,2413281	-0,04581094
0,342	-0,22375	-0,04278955
0,343	-0,2397656	-0,04133938
0,344	-0,2198438	-0,04159459
0,345	-0,115625	-0,04361587
0,346	-0,07023438	-0,04739007
0,347	-0,09503906	-0,05283127
0,348	-0,1709766	-0,05979362
0,349	-0,2167969	-0,06804113
0,35	-0,1605469	-0,07736129
0,351	-0,1246094	-0,087491
0,352	-0,09308594	-0,0981319
0,353	-0,01414063	-0,1089515
0,354	0,04792969	-0,1195869
0,355	0,05683594	-0,1296497
0,356	-0,03351563	-0,1387898
0,357	-0,1685156	-0,1466941
0,358	-0,2421484	-0,1530954
0,359	-0,2340625	-0,1577699
0,36	-0,1275	-0,160538
0,361	0,04832031	-0,1612697
0,362	0,1571875	-0,1599055
0,363	0,06277344	-0,1564107
0,364	-0,2061719	-0,1508817
0,365	-0,3939844	-0,1434579
0,366	-0,3519922	-0,1343317
0,367	-0,2753516	-0,1237494
0,368	-0,2930078	-0,1120136
0,369	-0,3083594	-0,09951659
0,37	-0,2837891	-0,08655225
0,371	-0,218125	-0,07355171
0,372	-0,05742188	-0,06089858
0,373	0,1528516	-0,04895997
0,374	0,2767188	-0,03808769
0,375	0,2358594	-0,02861759
0,376	0,05179687	-0,02088536
0,377	-0,06597656	-0,01508062
0,378	0,02796875	-0,01140032
0,379	0,1517578	-0,009951929
0,38	0,1098047	-0,01077891
0,381	-0,0765625	-0,01386286
0,382	-0,2115625	-0,01912187
0,383	-0,1589063	-0,02639536
0,384	-0,05449219	-0,03548681
0,385	-0,03230469	-0,04609076
0,386	-0,038125	-0,05788701
0,387	-0,06726562	-0,07053536
0,388	-0,1546484	-0,08367699
0,389	-0,213125	-0,09693346
0,39	-0,1814062	-0,1098835
0,391	-0,1274609	-0,1222057
0,392	-0,1133594	-0,1335064
0,393	-0,1116016	-0,1434711
0,394	-0,07445312	-0,151839
0,395	-0,0359375	-0,1584012
0,396	-0,04957031	-0,1630002
0,397	-0,09191406	-0,1655265
0,398	-0,1362109	-0,1659707
0,399	-0,1592187	-0,1643743
0,4	-0,1459375	-0,1608449
0,401	-0,1633594	-0,1555418
0,402	-0,2257422	-0,1486717
0,403	-0,2576953	-0,1404876
0,404	-0,2379297	-0,1313013
0,405	-0,1994922	-0,121421
0,406	-0,1853906	-0,1112364
0,407	-0,1783984	-0,1011056
0,408	-0,1445703	-0,09136047
0,409	-0,1321875	-0,08230431
0,41	-0,1208984	-0,07421057
0,411	-0,0528125	-0,06732277
0,412	0,000859375	-0,06184945
0,413	0,002421875	-0,05796933
0,414	0,01867188	-0,055787
0,415	0,06722656	-0,05533535
0,416	0,07535156	-0,05657548
0,417	0,03535156	-0,05939795
0,418	0,03898438	-0,06359455
0,419	0,05605469	-0,06903645
0,42	0,006523437	-0,07544876
0,421	-0,06179688	-0,08255882
0,422	-0,1140234	-0,09007041
0,423	-0,1670703	-0,097665
0,424	-0,2075	-0,1050045
0,425	-0,2230859	-0,1116928
0,426	-0,2131641	-0,1175368
0,427	-0,1979688	-0,1222052
0,428	-0,1982422	-0,1254619
0,429	-0,1994922	-0,1271215
0,43	-0,1891406	-0,1270492
0,431	-0,1399219	-0,1251624
0,432	-0,08847656	-0,1214078
0,433	-0,09105469	-0,1159056
0,434	-0,08042969	-0,1087236
0,435	-0,05933594	-0,1000116
0,436	-0,078125	-0,08996959
0,437	-0,1039453	-0,07884724
0,438	-0,1114844	-0,06694218
0,439	-0,07738281	-0,05459606
0,44	-0,03230469	-0,04216601
0,441	-0,01882813	-0,02998964
0,442	-0,006992188	-0,01838938
0,443	0,0365625	-0,007671307
0,444	0,0853125	0,001873825
0,445	0,06335937	0,00997332
0,446	0,02382813	0,01637134
0,447	0,05640625	0,02091938
0,448	0,09445312	0,02352239
0,449	0,09191406	0,02414943
0,45	0,04027344	0,02281733
0,451	-0,04316406	0,01958554
0,452	-0,07289063	0,01455737
0,453	-0,06183594	0,007875009
0,454	-0,05039063	-0,000200214
0,455	-0,0275	-0,009373928
0,456	-0,02019531	-0,01933652
0,457	-0,01136719	-0,0297828
0,458	0,01917969	-0,04041847
0,459	0,0234375	-0,0509608
0,46	-0,007226563	-0,06116295
0,461	-0,04546875	-0,07066937
0,462	-0,06011719	-0,07922491
0,463	-0,06539063	-0,08661103
0,464	-0,1224219	-0,09267385
0,465	-0,184375	-0,09732724
0,466	-0,1919531	-0,100553
0,467	-0,1822656	-0,1024488
0,468	-0,1823047	-0,1029527
0,469	-0,1945703	-0,1022313
0,47	-0,1683984	-0,1004491
0,471	-0,09820313	-0,0978125
0,472	-0,08808594	-0,09456796
0,473	-0,1277734	-0,09099929
0,474	-0,09945313	-0,08747488
0,475	-0,02199219	-0,0841576
0,476	0,01152344	-0,08141401
0,477	0,006796875	-0,07952547
0,478	-0,01	-0,07873367
0,479	-0,005039063	-0,07923554
0,48	0,03050781	-0,08117929
0,481	0,02675781	-0,08468281
0,482	-0,01839844	-0,08973059
0,483	-0,08753906	-0,09637056
0,484	-0,1619922	-0,1045583
0,485	-0,1635547	-0,114177
0,486	-0,1129688	-0,125033
0,487	-0,09816406	-0,1368554
0,488	-0,1428516	-0,1492928
0,489	-0,2256641	-0,1620112
0,49	-0,2939844	-0,1746785
0,491	-0,2910156	-0,1869554
0,492	-0,2671094	-0,1984894
0,493	-0,2924219	-0,2089131
0,494	-0,2973438	-0,2178498
0,495	-0,2663281	-0,2249252
0,496	-0,2741797	-0,2298469
0,497	-0,2576172	-0,2324218
0,498	-0,1639844	-0,2325122
0,499	-0,1200391	-0,2300331
0,5	-0,1816016	-0,2249548
0,501	-0,2463672	-0,2173111
0,502	-0,226875	-0,2072349
0,503	-0,1269922	-0,1948717
0,504	-0,04382813	-0,1805465
0,505	-0,03636719	-0,1645966
0,506	-0,0584375	-0,1473902
0,507	-0,06703125	-0,1293293
0,508	-0,06925781	-0,1108554
0,509	-0,1092188	-0,09245853
0,51	-0,1858203	-0,07462473
0,511	-0,2164844	-0,05784911
0,512	-0,1664063	-0,04257092
0,513	-0,09644531	-0,02917585
0,514	-0,04046875	-0,01799432
